image	x_y	x	y	value
RA2_1	13_18	13	18	Infiltrate;Synovial stroma
RA2_1	13_16	13	16	Infiltrate
RA2_1	19_18	19	18	Synovial stroma
RA2_1	14_16	14	16	Synovial stroma
RA2_1	24_15	24	15	Synovial stroma
RA2_1	24_24	24	24	Synovial stroma
RA2_1	11_14	11	14	Synovial stroma
RA2_1	17_11	17	11	Synovial stroma
RA2_1	32_15	32	15	Synovial stroma
RA2_1	14_15	14	15	Infiltrate
RA2_1	28_16	28	16	Synovial stroma
RA2_1	19_21	19	21	Synovial stroma
RA2_1	19_23	19	23	Synovial stroma
RA2_1	26_8	26	8	Synovial stroma
RA2_1	20_11	20	11	Infiltrate
RA2_1	17_10	17	10	Synovial stroma
RA2_1	18_21	18	21	Infiltrate;Synovial stroma
RA2_1	15_10	15	10	Synovial stroma
RA2_1	24_23	24	23	Synovial stroma
RA2_1	21_14	21	14	Synovial stroma
RA2_1	24_12	24	12	Infiltrate
RA2_1	23_18	23	18	Synovial stroma
RA2_1	16_10	16	10	Synovial stroma
RA2_1	21_13	21	13	Synovial stroma
RA2_1	12_16	12	16	Infiltrate
RA2_1	23_14	23	14	Infiltrate
RA2_1	20_18	20	18	Synovial stroma
RA2_1	25_8	25	8	Synovial stroma
RA2_1	32_20	32	20	Synovial stroma
RA2_1	17_23	17	23	Infiltrate
RA2_1	19_14	19	14	Synovial stroma
RA2_1	19_10	19	10	Synovial stroma
RA2_1	12_17	12	17	Infiltrate
RA2_1	22_23	22	23	Synovial stroma
RA2_1	16_18	16	18	Infiltrate
RA2_1	13_21	13	21	Infiltrate
RA2_1	28_8	28	8	Synovial stroma
RA2_1	12_10	12	10	Synovial stroma
RA2_1	27_20	27	20	Synovial stroma
RA2_1	26_22	26	22	Synovial stroma
RA2_1	30_20	30	20	Synovial stroma
RA2_1	15_15	15	15	Synovial stroma
RA2_1	26_16	26	16	Synovial stroma
RA2_1	17_14	17	14	Synovial stroma
RA2_1	29_12	29	12	Synovial stroma
RA2_1	26_12	26	12	Infiltrate
RA2_1	32_14	32	14	Synovial stroma
