V1	V2	V3
X5_16_19	2.10606309611805	-20.593494953692	-23.501751653235
X5_26_19	-4.90958265579515	-22.1257727084377	2.79010471332375
X5_10_19	17.0424533305183	-5.91875017702679	15.5491591789051
X5_14_19	0.611096412513317	7.36978480792215	-9.7561350279468
X5_25_19	-4.86893570217245	-17.8999026315551	-3.07803538653415
X5_17_19	3.08332556619429	15.388700964299	-7.86432818688904
X5_11_19	-1.12173329379315	-30.4785135706597	-17.9204289993236
X5_15_19	1.37481194280828	-8.91309584470143	-19.4663854356258
X5_23_20	-16.4970943462609	6.10181688775056	4.78134762371951
X5_22_20	-12.2177954309421	-7.1543906928241	-0.596436244702454
X5_11_20	-2.61653111004528	-26.878964785876	-18.7205991492373
X5_27_20	-6.16489427418186	-22.5523218195502	0.56493578208767
X5_12_20	0.256800034277598	-21.910210896599	-26.0638285122291
X5_26_20	-4.47932152410962	-19.6216641461691	1.06510159643317
X5_25_20	-5.70892059009313	-21.1199852745447	0.898704738984209
X5_17_20	3.95024174921825	6.91426508878569	-10.4613041761102
X5_14_20	0.75332763484971	7.87558820419114	-11.4959976566181
X5_16_20	2.5070429818614	-20.6716837622843	-23.9414240210918
X5_15_20	3.48465379303088	-20.9694606506304	-22.6494951041215
X5_22_21	-0.0175960376541234	-16.7862391438735	-7.43232099819182
X5_23_21	-21.1831157224586	2.39924024966088	3.2821246164207
X5_16_21	2.50475705847588	-21.7878465113193	-22.5703395019427
X5_12_21	-1.5099010715716	-27.3137038478874	-25.0538001661303
X5_17_21	3.78544299600079	17.5498469041123	-6.80826412051292
X5_14_21	-3.33731436335953	-23.7335347308811	-13.2189386387065
X5_26_21	-14.8382869297273	-10.9440052669912	1.65576868576767
X5_15_21	2.5940510209959	-18.7401753868939	-22.6562085741651
X5_25_21	-14.6915103404329	-10.7942439531578	1.57948578408677
X5_21_21	-19.8403584230652	1.30138462156572	2.85093956643243
X5_22_22	-10.5755444679406	-13.5002616438825	0.814808117428928
X5_23_22	-6.82927126328799	-2.04906207421913	8.70501533263804
X5_17_22	-2.25728106502594	-12.1616982428406	-12.5771296237777
X5_16_22	0.126555446926873	-10.9414889211815	-17.6114250635031
X5_18_22	7.88035343414823	18.9184298685563	-2.33141257580555
X5_14_22	-1.82127384008744	-19.0172099403166	-7.59818038479446
X5_21_22	-4.52975002842935	-5.98954844584015	2.331159285612
X5_15_22	-3.53787778770506	-24.16366979596	-13.6439333732366
X5_17_23	-0.856661584946245	-26.6697900257396	-14.7837138832557
X5_18_23	-5.64912021630393	-11.1615064988557	-4.28485666905465
X5_16_23	0.837063944633066	-25.3181265806797	-12.5424487548687
X5_14_23	-2.6426512516819	-21.8002669467299	-12.4463056376601
X5_15_23	0.883071122573657	-30.134983512221	-15.3675270364516
X5_19_23	-8.19257657964534	0.22627238549628	-5.52628478171818
X5_19_24	-18.4915362342294	3.56161982329182	8.24003563328646
X5_16_24	-5.45992827632729	-22.3871780772795	-0.70122578973471
X5_17_24	-6.34188886992433	-11.6271567134331	-0.295416010449763
X5_18_24	-6.25734089648655	-19.1977457732676	2.2680812930908
X5_15_24	2.34763389391815	-9.29502100397965	0.640542096254072
X6_28_16	3.29150491151227	-18.8903702816132	1.65297889670637
X6_15_16	3.69210690819737	-25.6412126629583	-8.65609511806993
X6_16_16	7.81212775595522	-19.8446202691189	-16.5298019477935
X6_29_17	7.46535823277727	-19.5048947632852	-16.810892754135
