pix_x	pix_y
42_38	6215.111	6108.566
40_40	5888	6467.894
27_35	3761.778	5569.575
41_51	6051.556	8444.195
18_44	2289.778	7186.549
44_42	6542.222	6827.221
20_44	2616.889	7186.549
38_38	5560.889	6108.566
46_42	6869.333	6827.221
46_38	6869.333	6108.566
36_50	5233.778	8264.531
47_39	7032.889	6288.23
18_28	2289.778	4311.929
44_48	6542.222	7905.204
27_49	3761.778	8084.867
17_29	2126.222	4491.593
48_42	7196.444	6827.221
38_50	5560.889	8264.531
41_35	6051.556	5569.575
21_31	2780.444	4850.92
26_32	3598.222	5030.584
18_42	2289.778	6827.221
24_42	3271.111	6827.221
32_30	4579.556	4671.257
40_54	5888	8983.186
38_58	5560.889	9701.841
42_48	6215.111	7905.204
18_38	2289.778	6108.566
50_38	7523.556	6108.566
44_46	6542.222	7545.876
21_41	2780.444	6647.558
28_36	3925.333	5749.239
46_44	6869.333	7186.549
22_44	2944	7186.549
38_40	5560.889	6467.894
49_39	7360	6288.23
43_45	6378.667	7366.212
45_45	6705.778	7366.212
24_46	3271.111	7545.876
39_51	5724.444	8444.195
44_36	6542.222	5749.239
21_29	2780.444	4491.593
42_50	6215.111	8264.531
39_39	5724.444	6288.23
22_32	2944	5030.584
32_34	4579.556	5389.912
37_43	5397.333	7006.885
36_46	5233.778	7545.876
47_43	7032.889	7006.885
42_46	6215.111	7545.876
26_30	3598.222	4671.257
15_41	1799.111	6647.558
44_40	6542.222	6467.894
17_31	2126.222	4850.92
47_37	7032.889	5928.903
37_51	5397.333	8444.195
39_47	5724.444	7725.54
30_42	4252.444	6827.221
37_49	5397.333	8084.867
46_36	6869.333	5749.239
45_39	6705.778	6288.23
43_47	6378.667	7725.54
41_47	6051.556	7725.54
32_32	4579.556	5030.584
40_42	5888	6827.221
48_48	7196.444	7905.204
40_44	5888	7186.549
38_42	5560.889	6827.221
38_48	5560.889	7905.204
49_37	7360	5928.903
21_45	2780.444	7366.212
