V1	V2	V3
X2_53_51	-0.298761298146594	6.94635821355028	-34.4945018039844
X2_52_52	-1.13945572547773	9.20803480027297	-35.1820065293182
X2_39_55	1.13619820310279	11.390535363218	-32.6149384411512
X2_38_54	1.29067886001183	12.1895366361942	-29.9054917549164
X2_30_38	2.65219543596402	15.833902699207	-36.0354451855224
X2_42_38	-1.30692310473492	5.48768921411538	-35.1917306419296
X2_42_40	0.514457207307042	5.90547379405173	-34.6441026431347
X2_32_38	-1.70069992889154	-12.5195511450366	-28.3693419831962
X2_52_54	-2.03900751384685	-14.9155445618042	-28.4822701757698
X2_38_42	-0.12339291369623	5.12539241662037	-35.1432175170615
X2_52_50	-2.85783641520333	10.6008140650987	-33.7565149033591
X2_33_47	-3.44023303421044	-2.67547108877302	-30.1857197074911
X2_41_39	1.33522753759889	11.1500719021462	-34.042583163703
X2_33_49	0.88366105014236	13.0048804245389	-34.3855421226604
X2_33_41	0.378628529953998	-19.6071262531687	-14.3707689505231
X2_40_54	0.954969960653616	11.2371573960563	-33.1427721342708
X2_41_37	-2.71930826459226	-0.63056513751672	-32.3285364102286
X2_41_43	1.93279227842546	1.9875951453227	-11.837037606512
X2_54_54	-2.03605889457658	-5.06903066696858	-32.9089745194241
X2_38_48	-0.205358441331086	13.6606233914558	-24.2046218436128
X2_32_48	-2.31020723977611	10.6433791972219	-33.9357551996039
X2_41_35	-0.838961550815702	-3.69588508047355	-33.3947251492753
X2_35_47	0.810435386666961	1.18223070838188	-27.0054044769734
X2_34_48	-0.587679150226844	11.7039666168707	-34.5852069681753
X2_37_43	-2.66166140724302	0.548910516130709	-33.0315629997654
X2_37_41	9.9225713696567	16.6515497440111	-27.4859501417558
X2_39_39	0.139861708890353	6.08557372019204	-34.6091024682361
X2_43_37	2.25815354085037	12.7500107808548	-35.8881943465004
X2_27_39	1.66541571483461	12.0322051626495	-31.7317423550468
X2_39_43	1.36319372344561	12.3617210053892	-36.0549463540576
X2_43_39	-1.70106733217665	6.41691334693627	-36.8826072522743
X2_40_42	4.49499197097417	5.71219426797575	-28.7494492550552
X2_32_46	3.32257285615515	1.19950110414869	-21.8575481933089
X2_35_45	-2.69123665272436	-12.8145426242466	-26.9849393543054
X2_36_44	-0.622822751475175	5.94464237252529	-35.2253178043543
X2_31_41	7.15624529280367	-6.76931541592996	-19.8122129061282
X2_31_39	-2.14291041607152	10.6685632684299	-33.9991376080966
X2_36_42	10.5021125052734	17.1062760391679	-26.4477915520077
X2_45_39	6.91969170192816	-2.78096081185153	-13.0920644489796
X2_37_53	-2.74742554576784	-12.7603562820601	-26.5301751391285
X2_44_38	-1.78696443125287	7.94757155214039	-35.019439609245
X2_51_53	-2.06477742961004	-18.9045035605187	-26.9025236836052
X2_34_46	-2.60736433942102	-2.5047266483517	-28.7704043263694
X2_37_51	-0.483288001356454	-8.32446856173896	-31.2989743752824
X2_40_36	-2.02235808023179	-1.6281437302039	-28.380180299124
X2_39_41	0.992959130239531	12.3815545140488	-24.4314356636231
X2_33_33	-0.541356499281664	4.1175536033318	-35.238856177785
X2_38_44	1.86536721155899	1.95030759814309	-11.7284516089126
X3_39_47	-17.3417220789991	-0.341014500733118	30.4917754256181
X3_42_42	-10.6145290545438	31.1599668943294	17.7807968019895
X3_39_55	-24.9515850971124	-0.229830370402637	25.7622052237518
X3_40_48	-24.6259873145873	-2.55326454877103	25.9452364105225
X3_55_53	-11.816553630282	29.1965283780901	15.2897881347737
X3_42_38	-18.8679449419786	21.592685935827	24.5427248883277
X3_41_41	-10.9032476021833	30.85371736927	18.2535264874881
X3_35_55	-18.6789973291031	17.6997788531744	22.1397756861759
X3_39_45	-15.7640136202431	22.3356730682599	22.5970278061653
X3_42_44	-13.3754109983031	26.5548860873349	20.9344159509808
X3_38_54	-10.1808783951082	28.3913697663685	19.2081328431732
