pix_x	pix_y
51_47	7727.282	7731.628
57_41	8713.744	6652.796
51_43	7727.282	7012.407
42_48	6247.59	7911.434
30_36	4274.667	5753.77
52_40	7891.692	6472.991
34_44	4932.308	7192.212
53_45	8056.103	7372.018
51_41	7727.282	6652.796
54_50	8220.513	8271.044
52_52	7891.692	8630.655
49_39	7398.462	6293.186
41_43	6083.179	7012.407
52_48	7891.692	7911.434
43_51	6412	8450.85
43_49	6412	8091.239
48_42	7234.051	6832.602
43_55	6412	9170.071
46_50	6905.231	8271.044
45_51	6740.821	8450.85
50_50	7562.872	8271.044
53_41	8056.103	6652.796
55_43	8384.923	7012.407
51_45	7727.282	7372.018
37_39	5425.538	6293.186
30_40	4274.667	6472.991
54_52	8220.513	8630.655
29_35	4110.256	5573.965
27_35	3781.436	5573.965
44_52	6576.41	8630.655
24_42	3288.205	6832.602
47_45	7069.641	7372.018
31_37	4439.077	5933.575
56_42	8549.333	6832.602
49_43	7398.462	7012.407
43_47	6412	7731.628
47_53	7069.641	8810.46
42_50	6247.59	8271.044
53_43	8056.103	7012.407
31_35	4439.077	5573.965
46_54	6905.231	8990.265
47_51	7069.641	8450.85
39_41	5754.359	6652.796
31_47	4439.077	7731.628
50_44	7562.872	7192.212
51_49	7727.282	8091.239
52_42	7891.692	6832.602
43_37	6412	5933.575
24_44	3288.205	7192.212
27_47	3781.436	7731.628
30_42	4274.667	6832.602
54_48	8220.513	7911.434
55_41	8384.923	6652.796
49_45	7398.462	7372.018
33_45	4767.897	7372.018
34_38	4932.308	6113.381
30_34	4274.667	5394.159
49_49	7398.462	8091.239
37_51	5425.538	8450.85
46_44	6905.231	7192.212
50_48	7562.872	7911.434
29_37	4110.256	5933.575
45_47	6740.821	7731.628
51_39	7727.282	6293.186
26_40	3617.026	6472.991
32_34	4603.487	5394.159
53_47	8056.103	7731.628
54_40	8220.513	6472.991
47_43	7069.641	7012.407
46_46	6905.231	7551.823
46_52	6905.231	8630.655
54_46	8220.513	7551.823
