x,y,score,sample,section
553,14,33,0,RA2,Section1
554,14,34,0,RA2,Section1
555,14,35,0,RA2,Section1
556,14,36,0.211903788139864,RA2,Section1
557,14,37,0.254284545767786,RA2,Section1
558,14,38,0.0317855682209316,RA2,Section1
559,14,39,0.105836092362457,RA2,Section1
560,14,40,NA,RA2,Section1
561,15,1,NA,RA2,Section1
562,15,2,0,RA2,Section1
563,15,3,0.0432663819594755,RA2,Section1
564,15,4,0.346131055675971,RA2,Section1
565,15,5,0.331708928356066,RA2,Section1
566,15,6,0.0288442546395746,RA2,Section1
567,15,7,0,RA2,Section1
568,15,8,0,RA2,Section1
569,15,9,0,RA2,Section1
570,15,10,0,RA2,Section1
571,15,11,0,RA2,Section1
572,15,12,0,RA2,Section1
573,15,13,0.490114377132319,RA2,Section1
574,15,14,0.789628718713061,RA2,Section1
575,15,15,0.217828612058693,RA2,Section1
576,15,16,0,RA2,Section1
577,15,17,0,RA2,Section1
578,15,18,0.381766758757064,RA2,Section1
579,15,19,0.381766758757048,RA2,Section1
580,15,20,0,RA2,Section1
581,15,21,0.0256940072685453,RA2,Section1
582,15,22,0.256940072684696,RA2,Section1
583,15,23,0.200294423209234,RA2,Section1
584,15,24,0.11532594899613,RA2,Section1
585,15,25,0.0345977846988138,RA2,Section1
586,15,26,0,RA2,Section1
587,15,27,0,RA2,Section1
588,15,28,0,RA2,Section1
589,15,29,0,RA2,Section1
590,15,30,0,RA2,Section1
591,15,31,0.359412974329623,RA2,Section1
592,15,32,0.359412974329609,RA2,Section1
593,15,33,0,RA2,Section1
594,15,34,0,RA2,Section1
595,15,35,0,RA2,Section1
596,15,36,0.0423807576279693,RA2,Section1
597,15,37,0.105951894069882,RA2,Section1
598,15,38,0.0317855682209348,RA2,Section1
599,15,39,0,RA2,Section1
600,15,40,NA,RA2,Section1
601,16,1,NA,RA2,Section1
602,16,2,0,RA2,Section1
603,16,3,0.0363409410698459,RA2,Section1
604,16,4,0.332280173896726,RA2,Section1
605,16,5,0.475930201554513,RA2,Section1
606,16,6,0.173065527838016,RA2,Section1
607,16,7,0,RA2,Section1
608,16,8,0,RA2,Section1
609,16,9,0.186004037136908,RA2,Section1
610,16,10,0.18600403713692,RA2,Section1
611,16,11,0,RA2,Section1
612,16,12,0,RA2,Section1
613,16,13,0.326742918088326,RA2,Section1
614,16,14,0.898543024742694,RA2,Section1
615,16,15,0.490114377132321,RA2,Section1
616,16,16,0,RA2,Section1
617,16,17,0,RA2,Section1
618,16,18,0.189236525919712,RA2,Section1
619,16,19,0.189236525919725,RA2,Section1
620,16,20,0,RA2,Section1
621,16,21,0,RA2,Section1
622,16,22,0,RA2,Section1
623,16,23,0,RA2,Section1
624,16,24,0,RA2,Section1
625,16,25,0,RA2,Section1
626,16,26,0,RA2,Section1
627,16,27,4.39378469165655e-14,RA2,Section1
628,16,28,0.131328004646391,RA2,Section1
629,16,29,0.0656640023231694,RA2,Section1
